DateTime,Close,Open,High,Low,Volume
00:00 23.03.22,1919.59,1920.48,1921.98,1919.33,7562
01:00 23.03.22,1917.85,1919.57,1920.15,1915.38,14177
02:00 23.03.22,1920.15,1917.81,1921.52,1916.94,17601
03:00 23.03.22,1923.12,1920.15,1923.95,1919.72,14779
04:00 23.03.22,1921.83,1923.08,1924.3,1921.5,9805
05:00 23.03.22,1922.21,1921.76,1922.48,1921.19,6308
06:00 23.03.22,1921.47,1922.21,1922.28,1920.1,10332
07:00 23.03.22,1917.55,1921.44,1921.44,1916.82,13439
08:00 23.03.22,1920.51,1917.55,1920.7,1917.34,15278
09:00 23.03.22,1925.67,1920.48,1926.2,1920.29,26075
10:00 23.03.22,1929.38,1925.69,1931.03,1925.63,21976
11:00 23.03.22,1933.13,1929.38,1933.66,1929.38,23955
12:00 23.03.22,1930.54,1933.14,1934.95,1927.73,32540
13:00 23.03.22,1928.82,1930.39,1930.68,1924.94,37608
14:00 23.03.22,1935.07,1928.82,1935.63,1928.11,45793
15:00 23.03.22,1931.78,1935.07,1936.62,1928.25,40373
16:00 23.03.22,1929.32,1931.8,1932.48,1925.79,28698
17:00 23.03.22,1935.28,1929.3,1935.41,1927.68,29643
18:00 23.03.22,1936.58,1935.31,1937.75,1934.73,36951
19:00 23.03.22,1939.37,1936.6,1939.94,1936.54,28954
20:00 23.03.22,1946.57,1939.34,1948.26,1938.2,33193
21:00 23.03.22,1943.27,1946.56,1947.34,1943.23,15118
23:00 23.03.22,1944.97,1942.34,1945.22,1942.23,5005
00:00 24.03.22,1946.01,1944.95,1946.84,1944.95,6764
01:00 24.03.22,1946.48,1946,1948.44,1945.36,13713
02:00 24.03.22,1941.92,1946.51,1948.19,1941.25,21953
03:00 24.03.22,1941.4,1941.93,1943.31,1939.57,16234
04:00 24.03.22,1938.79,1941.39,1942.05,1938.64,9924
05:00 24.03.22,1940.16,1938.77,1940.56,1937.66,10021
06:00 24.03.22,1938.07,1940.19,1940.35,1937.7,13075
